Month,Constabulary,Crime type,Longitude,Latitude,Count
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2329,51.8596,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2328,51.7646,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2328,51.8661,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2326,51.7224,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2322,51.8528,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2321,51.7442,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2317,51.8612,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2316,51.8606,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2302,51.7371,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.23,51.8575,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2298,51.704,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2294,51.8559,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2289,51.866,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2287,51.855,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2286,51.8646,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2286,51.8951,4
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2285,51.8465,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2281,51.8665,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2275,51.8562,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2271,51.8682,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2269,51.8436,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.225,51.8467,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.224,51.747,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2239,51.7422,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2236,51.8759,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2235,51.8428,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2229,51.8464,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2226,51.7454,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2225,51.8684,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2222,51.8401,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2218,51.8749,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2215,51.7442,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2212,51.9011,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2203,51.8408,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2203,51.8669,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2201,51.7461,5
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2199,51.8342,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2182,51.7448,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2181,51.7456,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2179,51.7464,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2174,51.8739,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2172,51.6953,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2172,51.8576,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2169,51.8652,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2167,51.7444,6
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2167,51.7449,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2166,51.6924,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2163,51.8406,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2161,51.7453,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2161,51.8389,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2154,51.8523,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2153,51.842,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2151,51.8536,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.215,51.8402,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2148,51.7458,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2148,51.8353,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2146,51.8591,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2144,51.8694,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2142,51.8388,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2139,51.8763,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2135,51.8615,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2133,51.7509,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2132,51.8334,3
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2131,51.7513,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2131,51.8424,1
